Point precipitation frequency estimates (inches)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): Nashville, Tennessee, USA
Station Name: NASHVILLE WSO AIRPORT
Latitude: 36.1253 Degree
Longitude: -86.6764 Degree
Elevation (USGS): 600 ft


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 0.381,0.446,0.514,0.568,0.636,0.687,0.736,0.784,0.843,0.888
10-min:, 0.608,0.714,0.823,0.908,1.01,1.09,1.17,1.24,1.33,1.40
15-min:, 0.760,0.897,1.04,1.15,1.28,1.38,1.48,1.57,1.68,1.76
30-min:, 1.04,1.24,1.48,1.66,1.90,2.09,2.26,2.44,2.67,2.84
60-min:, 1.30,1.56,1.90,2.17,2.54,2.83,3.12,3.42,3.83,4.15
2-hr:, 1.54,1.83,2.22,2.54,2.97,3.31,3.66,4.03,4.52,4.91
3-hr:, 1.67,1.99,2.41,2.76,3.23,3.61,4.01,4.41,4.97,5.41
6-hr:, 2.00,2.38,2.88,3.31,3.90,4.38,4.88,5.41,6.15,6.73
12-hr:, 2.37,2.82,3.42,3.92,4.62,5.19,5.78,6.41,7.28,7.96
24-hr:, 2.83,3.37,4.11,4.70,5.53,6.20,6.89,7.61,8.60,9.37
2-day:, 3.37,4.02,4.92,5.65,6.69,7.53,8.41,9.34,10.6,11.7
3-day:, 3.56,4.25,5.18,5.94,6.99,7.84,8.73,9.64,10.9,11.9
4-day:, 3.76,4.48,5.45,6.23,7.30,8.15,9.04,9.94,11.2,12.1
7-day:, 4.56,5.44,6.62,7.58,8.92,10.0,11.1,12.3,14.0,15.3
10-day:, 5.24,6.24,7.51,8.53,9.91,11.0,12.1,13.3,14.8,16.0
20-day:, 7.08,8.39,9.90,11.0,12.6,13.7,14.8,15.9,17.3,18.4
30-day:, 8.72,10.3,12.0,13.3,15.0,16.3,17.6,18.9,20.5,21.7
45-day:, 10.9,12.8,14.7,16.2,18.0,19.5,20.8,22.1,23.7,24.9
60-day:, 13.1,15.3,17.6,19.2,21.3,22.8,24.2,25.5,27.1,28.2

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 0.413,0.485,0.559,0.617,0.691,0.746,0.800,0.853,0.920,0.973
10-min:, 0.659,0.776,0.895,0.987,1.10,1.19,1.27,1.35,1.46,1.53
15-min:, 0.824,0.975,1.13,1.25,1.40,1.50,1.61,1.71,1.83,1.92
30-min:, 1.13,1.35,1.61,1.81,2.07,2.26,2.46,2.66,2.92,3.11
60-min:, 1.41,1.69,2.06,2.36,2.75,3.07,3.39,3.73,4.18,4.54
2-hr:, 1.67,1.99,2.41,2.76,3.22,3.60,3.98,4.38,4.93,5.37
3-hr:, 1.82,2.17,2.62,3.00,3.51,3.93,4.36,4.81,5.43,5.92
6-hr:, 2.20,2.62,3.18,3.64,4.28,4.81,5.37,5.96,6.79,7.46
12-hr:, 2.59,3.08,3.73,4.27,5.03,5.64,6.30,6.98,7.94,8.74
24-hr:, 3.00,3.59,4.36,4.99,5.87,6.57,7.30,8.06,9.09,9.92
2-day:, 3.59,4.28,5.23,6.00,7.08,7.97,8.89,9.87,11.2,12.4
