time_ratio,cumulative_rainfall_ratio,incremental_rainfall_ratio
0.0,0.0,0.0
0.083,0.011,0.011
0.167,0.022,0.011
0.25,0.035,0.013000000000000005
0.333,0.048,0.012999999999999998
0.375,0.057,0.009000000000000001
0.417,0.066,0.009000000000000001
0.458,0.076,0.009999999999999995
0.5,0.089,0.012999999999999998
0.542,0.115,0.02600000000000001
0.583,0.283,0.16799999999999998
0.625,0.663,0.38000000000000006
0.667,0.735,0.07199999999999995
0.708,0.772,0.03700000000000003
0.75,0.799,0.027000000000000024
0.792,0.82,0.020999999999999908
0.833,0.838,0.018000000000000016
0.875,0.854,0.016000000000000014
0.917,0.87,0.016000000000000014
0.958,0.884,0.014000000000000012
1.0,1.0,0.11599999999999999
